departamento,region
Amazonas,Centro sur
Antioquia,Antioquia
Arauca,Llanos
Archipielago de San andres Providencia y  Santa Catalina,Caribe
Atlántico,Caribe
Bogota D. C.,Bogota/cundinamarca
Bolívar,Caribe
Boyacá,Centro oriente
Caldas,Eje cafetero
Caquetá,Centro sur
Casanare,Llanos
Cauca,Pacifica
Cesar,Caribe
Chocó,Pacifica
Córdoba,Caribe
Cundinamarca,Bogota/cundinamarca
Guainia,Llanos
Guaviare,Llanos
Huila,Centro sur
La Guajira,Caribe
Magdalena,Caribe
Meta,Llanos
Narino,Pacifica
No definido,Sin Region
Norte de Santander,Centro oriente
Putumayo,Centro sur
Quindío,Eje cafetero
Risaralda,Eje cafetero
Santander,Centro oriente
Sucre,Caribe
Tolima,Centro sur
Valle del Cauca,Pacifica
Vaupes,Llanos
Vichada,Llanos
